,AGENT COLOR,OUTCOME,N STEPS,AGENT PIECES,OPPONENT PIECES,EPISODE,pawn,horse,knight,rook,queen,king
301,BLACK,LOSS,17,7,16,150,8,2,2,2,1,1
302,WHITE,LOSS,17,16,10,151,6,1,0,2,0,1
303,BLACK,LOSS,15,12,15,151,7,2,2,2,1,1
304,WHITE,LOSS,14,16,13,152,6,2,1,2,1,1
305,BLACK,LOSS,21,8,15,152,8,2,1,2,1,1
306,WHITE,LOSS,27,13,5,153,2,1,0,1,0,1
307,BLACK,LOSS,23,7,15,153,7,2,2,2,1,1
308,WHITE,LOSS,18,16,11,154,5,2,1,2,0,1
309,BLACK,LOSS,14,12,16,154,8,2,2,2,1,1
310,WHITE,LOSS,15,16,12,155,6,2,2,1,0,1
311,BLACK,LOSS,20,12,14,155,7,1,2,2,1,1
312,WHITE,LOSS,25,14,8,156,3,1,1,2,0,1
313,BLACK,LOSS,15,12,16,156,8,2,2,2,1,1
314,WHITE,LOSS,16,15,11,157,5,2,1,2,0,1
315,BLACK,LOSS,26,11,16,157,8,2,2,2,1,1
316,WHITE,LOSS,25,16,10,158,6,1,0,2,0,1
317,BLACK,LOSS,14,12,16,158,7,2,2,2,2,1
318,WHITE,LOSS,13,15,11,159,6,1,1,2,0,1
319,BLACK,LOSS,15,10,14,159,7,1,2,2,1,1
320,WHITE,LOSS,20,16,11,160,6,0,2,2,0,1
321,BLACK,LOSS,17,12,15,160,8,1,2,2,1,1
322,WHITE,LOSS,13,16,12,161,6,2,1,2,0,1
323,BLACK,LOSS,31,9,15,161,6,2,2,3,1,1
324,WHITE,LOSS,19,15,11,162,5,2,1,2,0,1
325,BLACK,LOSS,22,12,16,162,8,2,2,2,1,1
326,WHITE,LOSS,25,16,9,163,4,1,2,1,0,1
327,BLACK,LOSS,19,10,15,163,7,2,2,2,1,1
328,WHITE,LOSS,16,16,11,164,6,1,1,2,0,1
329,BLACK,LOSS,9,14,16,164,8,2,2,2,1,1
330,WHITE,LOSS,20,15,11,165,6,2,0,2,0,1
331,BLACK,LOSS,27,4,14,165,6,2,2,2,1,1
332,WHITE,LOSS,22,16,8,166,5,1,0,1,0,1
333,BLACK,LOSS,9,15,16,166,8,2,2,2,1,1
334,WHITE,LOSS,31,13,9,167,5,1,0,1,1,1
335,BLACK,LOSS,22,9,14,167,7,1,2,2,1,1
336,WHITE,LOSS,18,15,9,168,4,2,0,2,0,1
337,BLACK,LOSS,28,7,14,168,7,2,2,1,1,1
338,WHITE,LOSS,13,16,10,169,6,1,1,1,0,1
339,BLACK,LOSS,23,11,14,169,8,1,1,2,1,1
340,WHITE,LOSS,24,14,10,170,5,2,1,1,0,1
341,BLACK,LOSS,14,11,16,170,8,2,2,2,1,1
342,WHITE,LOSS,11,16,12,171,7,2,1,1,0,1
343,BLACK,LOSS,11,14,16,171,8,2,2,2,1,1
344,WHITE,LOSS,21,15,9,172,5,1,0,1,1,1
345,BLACK,LOSS,24,9,14,172,6,2,2,2,1,1
346,WHITE,LOSS,15,16,12,173,6,2,1,2,0,1
347,BLACK,LOSS,14,10,15,173,7,2,2,2,1,1
348,WHITE,LOSS,14,15,10,174,5,0,2,2,0,1
349,BLACK,LOSS,26,11,15,174,8,1,2,2,1,1
350,WHITE,LOSS,12,16,11,175,6,2,1,1,0,1
351,BLACK,LOSS,21,9,15,175,8,2,1,2,1,1
352,WHITE,LOSS,18,16,12,176,5,2,2,2,0,1
353,BLACK,LOSS,30,5,13,176,6,1,2,2,1,1
354,WHITE,LOSS,22,14,9,177,6,0,1,1,0,1
355,BLACK,LOSS,15,13,15,177,7,2,2,2,1,1
356,WHITE,LOSS,15,16,11,178,5,2,1,2,0,1
357,BLACK,LOSS,16,10,15,178,7,2,2,2,1,1
358,WHITE,LOSS,16,15,12,179,5,2,2,2,0,1
359,BLACK,LOSS,10,15,16,179,8,2,2,2,1,1
360,WHITE,LOSS,12,16,11,180,6,1,1,2,0,1
361,BLACK,LOSS,11,14,16,180,8,2,2,2,1,1
362,WHITE,LOSS,17,16,11,181,5,2,1,2,0,1
363,BLACK,LOSS,18,8,16,181,7,2,2,2,2,1
