,AGENT COLOR,OUTCOME,N STEPS,AGENT PIECES,OPPONENT PIECES,EPISODE,pawn,horse,knight,rook,queen,king
1340,WHITE,LOSS,21,15,9,800,4,1,1,2,0,1
1341,BLACK,LOSS,14,11,15,800,7,2,2,2,1,1
1342,WHITE,LOSS,13,14,12,800,7,1,1,2,0,1
1343,BLACK,LOSS,21,8,16,800,7,2,2,2,2,1
1344,WHITE,LOSS,18,16,11,800,6,1,1,2,0,1
1345,BLACK,LOSS,16,11,15,800,7,2,2,2,1,1
1346,WHITE,LOSS,19,15,11,800,6,1,1,2,0,1
1347,BLACK,LOSS,20,7,15,800,7,2,2,2,1,1
1348,WHITE,LOSS,30,16,10,800,6,0,1,2,0,1
1349,BLACK,LOSS,16,10,14,800,6,2,2,2,1,1
1350,WHITE,LOSS,15,15,10,800,5,1,1,1,1,1
1351,BLACK,LOSS,16,9,14,800,6,2,2,2,1,1
1352,WHITE,LOSS,10,16,14,800,7,2,2,2,0,1
1353,BLACK,LOSS,17,12,15,800,8,2,1,2,1,1
1354,WHITE,LOSS,11,16,11,800,5,1,2,1,1,1
1355,BLACK,LOSS,16,12,14,800,6,2,2,2,1,1
1356,WHITE,LOSS,30,16,6,800,3,0,0,1,1,1
1357,BLACK,LOSS,18,8,15,800,7,2,2,2,1,1
1358,WHITE,LOSS,26,14,8,800,5,0,0,2,0,1
1359,BLACK,LOSS,16,12,15,800,7,2,2,2,1,1
1360,WHITE,LOSS,28,14,5,800,4,0,0,0,0,1
1361,BLACK,LOSS,12,14,15,800,7,2,2,2,1,1
1362,WHITE,LOSS,22,15,10,800,4,2,1,2,0,1
1363,BLACK,LOSS,22,13,14,800,6,2,2,2,1,1
1364,WHITE,LOSS,12,15,12,800,5,1,2,2,1,1
1365,BLACK,LOSS,17,12,14,800,6,1,2,2,2,1
1366,WHITE,LOSS,22,14,13,800,7,1,2,2,0,1
1367,BLACK,LOSS,20,8,16,800,7,2,2,3,1,1
1368,WHITE,LOSS,15,16,11,800,5,2,1,2,0,1
1369,BLACK,LOSS,21,12,15,800,7,2,2,2,1,1
1370,WHITE,LOSS,30,15,7,800,4,0,1,1,0,1
1371,BLACK,LOSS,11,14,16,800,8,2,2,2,1,1
1372,WHITE,LOSS,26,14,10,800,4,1,2,2,0,1
1373,BLACK,LOSS,17,11,15,800,7,2,2,2,1,1
1374,WHITE,LOSS,21,16,7,800,3,1,1,1,0,1
1375,BLACK,LOSS,26,10,14,800,7,2,1,2,1,1
1376,WHITE,LOSS,12,15,10,800,5,0,2,2,0,1
1377,BLACK,LOSS,13,12,16,800,8,2,2,2,1,1
1378,WHITE,LOSS,19,16,10,800,6,1,1,1,0,1
1379,BLACK,LOSS,26,8,15,800,7,2,2,2,1,1
1380,WHITE,LOSS,8,16,15,800,7,2,2,2,1,1
1381,BLACK,LOSS,10,13,15,800,7,2,2,2,1,1
1382,WHITE,LOSS,13,16,12,800,7,2,1,1,0,1
1383,BLACK,LOSS,15,9,13,800,6,2,1,2,1,1
1384,WHITE,LOSS,25,15,11,800,7,1,1,1,0,1
1385,BLACK,LOSS,16,10,15,800,7,1,2,2,2,1
1386,WHITE,LOSS,15,16,8,800,4,0,1,2,0,1
1387,BLACK,LOSS,18,11,15,800,7,2,2,2,1,1
1388,WHITE,LOSS,12,16,14,800,7,1,2,2,1,1
1389,BLACK,LOSS,15,11,15,800,7,2,2,2,1,1
1390,WHITE,LOSS,19,15,11,800,6,2,1,1,0,1
1391,BLACK,LOSS,16,12,15,800,7,2,2,2,1,1
1392,WHITE,LOSS,32,15,9,800,5,1,0,2,0,1
1393,BLACK,LOSS,11,13,16,800,8,2,2,2,1,1
1394,WHITE,LOSS,10,16,11,800,7,0,1,2,0,1
1395,BLACK,LOSS,22,5,16,800,7,2,2,2,2,1
1396,WHITE,LOSS,28,15,9,800,5,0,1,2,0,1
1397,BLACK,LOSS,16,11,16,800,8,2,2,2,1,1
1398,WHITE,LOSS,25,15,7,800,4,1,1,0,0,1
1399,BLACK,LOSS,11,11,16,800,8,2,2,2,1,1
1400,WHITE,LOSS,24,15,10,800,5,1,1,1,1,1
1401,BLACK,LOSS,17,10,15,800,8,1,2,2,1,1
1402,WHITE,LOSS,13,15,10,800,5,0,2,2,0,1
1403,BLACK,LOSS,17,10,15,800,7,2,2,2,1,1
1404,WHITE,LOSS,44,13,6,800,4,1,0,0,0,1
1405,BLACK,LOSS,12,12,16,800,8,2,2,2,1,1
1406,WHITE,LOSS,14,16,11,800,5,1,2,1,1,1
1407,BLACK,LOSS,8,14,16,800,8,2,2,2,1,1
1408,WHITE,LOSS,8,16,15,800,7,2,2,2,1,1
1409,BLACK,LOSS,18,11,15,800,8,1,2,2,1,1
1410,WHITE,LOSS,11,16,9,800,4,1,1,1,1,1
1411,BLACK,LOSS,17,10,15,800,8,1,2,2,1,1
1412,WHITE,LOSS,24,15,11,800,7,1,1,1,0,1
1413,BLACK,LOSS,12,13,15,800,7,2,2,2,1,1
1414,WHITE,LOSS,18,15,9,800,6,0,0,1,1,1
1415,BLACK,LOSS,8,13,15,800,7,2,2,2,1,1
1416,WHITE,LOSS,18,15,11,800,7,0,1,2,0,1
1417,BLACK,LOSS,21,8,11,800,5,1,2,2,0,1
1418,WHITE,LOSS,25,15,10,800,5,1,1,2,0,1
1419,BLACK,LOSS,14,14,16,800,8,2,2,2,1,1
1420,WHITE,LOSS,25,16,10,800,6,1,1,1,0,1
1421,BLACK,LOSS,22,9,14,800,8,1,1,2,1,1
1422,WHITE,LOSS,21,16,10,800,6,1,0,2,0,1
1423,BLACK,LOSS,12,13,15,800,7,2,2,2,1,1
1424,WHITE,LOSS,22,16,8,800,5,0,0,2,0,1
1425,BLACK,LOSS,18,10,15,800,7,2,2,2,1,1
1426,WHITE,LOSS,30,13,8,800,5,0,0,2,0,1
1427,BLACK,LOSS,27,9,15,800,7,1,2,2,2,1
1428,WHITE,LOSS,24,14,11,800,5,2,1,2,0,1
1429,BLACK,LOSS,24,12,16,800,8,2,2,2,1,1
1430,WHITE,LOSS,15,16,11,800,6,0,2,2,0,1
1431,BLACK,LOSS,15,12,15,800,7,2,2,2,1,1
1432,WHITE,LOSS,37,15,11,800,5,1,1,2,1,1
1433,BLACK,LOSS,20,8,15,800,8,1,2,2,1,1
1434,WHITE,LOSS,28,15,8,800,4,1,0,2,0,1
1435,BLACK,LOSS,13,9,15,800,6,2,2,2,2,1
1436,WHITE,LOSS,34,14,6,800,4,0,0,1,0,1
1437,BLACK,LOSS,19,10,15,800,8,1,2,2,1,1
1438,WHITE,LOSS,35,13,9,800,5,1,1,1,0,1
1439,BLACK,LOSS,18,10,16,800,8,2,2,2,1,1
1440,WHITE,LOSS,19,16,8,800,5,0,1,1,0,1
1441,BLACK,LOSS,22,10,14,800,7,1,2,2,1,1
1442,WHITE,LOSS,20,16,10,800,6,1,1,1,0,1
1443,BLACK,LOSS,29,8,15,800,7,2,2,2,1,1
1444,WHITE,LOSS,12,15,11,800,5,1,1,2,1,1
1445,BLACK,LOSS,22,9,16,800,8,2,2,2,1,1
