,AGENT COLOR,OUTCOME,N STEPS,AGENT PIECES,OPPONENT PIECES,EPISODE,pawn,horse,knight,rook,queen,king
315,BLACK,LOSS,12,13,16,157,8,2,2,2,1,1
316,WHITE,LOSS,12,13,14,158,6,2,2,2,1,1
317,BLACK,LOSS,12,12,15,158,8,1,2,2,1,1
318,WHITE,DRAW,19,10,15,159,7,2,2,2,1,1
319,BLACK,LOSS,12,9,15,159,8,1,2,2,1,1
320,WHITE,LOSS,17,10,14,160,6,2,2,2,1,1
321,BLACK,LOSS,33,4,13,160,6,2,2,2,0,1
322,WHITE,DRAW,14,15,16,161,8,2,2,2,1,1
323,BLACK,LOSS,19,10,14,161,6,2,2,2,1,1
324,WHITE,DRAW,20,10,15,162,7,2,2,2,1,1
325,BLACK,LOSS,21,11,15,162,7,2,2,2,1,1
326,WHITE,DRAW,11,11,14,163,7,1,2,2,1,1
327,BLACK,LOSS,14,13,16,163,8,2,2,2,1,1
328,WHITE,DRAW,19,12,15,164,8,1,2,2,1,1
329,BLACK,LOSS,17,10,15,164,7,2,2,2,1,1
330,WHITE,DRAW,21,9,15,165,8,2,1,2,1,1
331,BLACK,LOSS,5,13,16,165,8,2,2,2,1,1
332,WHITE,DRAW,13,13,14,166,7,1,2,2,1,1
333,BLACK,LOSS,16,9,16,166,8,2,2,2,1,1
334,WHITE,DRAW,8,16,16,167,8,2,2,2,1,1
335,BLACK,LOSS,8,14,16,167,8,2,2,2,1,1
336,WHITE,DRAW,16,12,15,168,7,2,2,2,1,1
337,BLACK,LOSS,8,15,16,168,8,2,2,2,1,1
338,WHITE,LOSS,16,10,15,169,7,2,2,2,1,1
339,BLACK,LOSS,10,11,16,169,8,2,2,2,1,1
340,WHITE,DRAW,28,6,13,170,6,1,2,2,1,1
341,BLACK,LOSS,10,13,15,170,7,2,2,2,1,1
342,WHITE,DRAW,23,8,15,171,7,2,2,2,1,1
343,BLACK,LOSS,15,12,16,171,8,2,2,2,1,1
344,WHITE,DRAW,15,11,14,172,7,2,1,2,1,1
345,BLACK,LOSS,8,13,16,172,8,2,2,2,1,1
346,WHITE,DRAW,20,11,15,173,7,2,2,2,1,1
347,BLACK,LOSS,13,12,14,173,7,1,2,2,1,1
348,WHITE,DRAW,9,15,16,174,8,2,2,2,1,1
349,BLACK,LOSS,22,9,13,174,5,2,2,2,1,1
350,WHITE,DRAW,21,7,13,175,6,1,2,2,1,1
351,BLACK,LOSS,23,10,16,175,8,2,2,2,1,1
352,WHITE,DRAW,19,11,15,176,7,2,2,2,1,1
353,BLACK,LOSS,22,10,15,176,7,2,2,2,1,1
354,WHITE,DRAW,18,10,15,177,7,2,2,2,1,1
355,BLACK,LOSS,8,12,16,177,8,2,2,2,1,1
356,WHITE,LOSS,16,9,14,178,6,2,2,2,1,1
357,BLACK,LOSS,23,11,12,178,5,2,1,2,1,1
358,WHITE,LOSS,8,16,15,179,7,2,2,2,1,1
359,BLACK,LOSS,15,11,15,179,7,2,2,2,1,1
360,WHITE,LOSS,15,13,15,180,7,2,2,2,1,1
361,BLACK,LOSS,21,9,16,180,8,2,2,2,1,1
362,WHITE,LOSS,26,11,13,181,7,1,1,2,1,1
363,BLACK,LOSS,11,11,16,181,8,2,2,2,1,1
364,WHITE,DRAW,19,12,15,182,7,2,2,2,1,1
365,BLACK,LOSS,6,14,16,182,8,2,2,2,1,1
366,WHITE,DRAW,22,13,16,183,8,2,2,2,1,1
367,BLACK,LOSS,11,15,16,183,8,2,2,2,1,1
368,WHITE,LOSS,21,13,14,184,6,2,2,2,1,1
369,BLACK,LOSS,29,11,13,184,7,1,1,2,1,1
370,WHITE,LOSS,29,9,13,185,7,2,1,2,0,1
371,BLACK,LOSS,14,11,15,185,8,1,2,2,1,1
